Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Research & Development,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
0.4463504035345031,1,1,0.7425265337769018,-1.5053496669764959,2,2,0,1.3831382668932737,3,4,0.21949323718313785,0.7260199409380492,1.660253538085118,1,-1.2926774131267933,3,1,0,-0.1389206128713836,-2.171981830933257,1,0.29061126825485295,-0.9733423721381878,0.5479958873663928,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.3223652142096962,0,2,-1.2977746019136118,0.2520023621193102,1,3,1,-0.2406767700620191,2,2,-0.014600155970252774,1.4888761391146892,-0.5864173580242138,0,1.94230596699673,4,4,1,0.14841116175654057,0.1557070814399298,3,0.8826704550237439,-0.11727146504788616,0.9049235229276625,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.008342998196906572,1,1,1.4143632382387843,-1.0316074699401947,2,4,1,1.2847252343505287,2,3,-1.366317700490529,-1.6748408610979753,1.2848600822687926,1,0.04996199916829446,3,2,0,-0.3075690972864685,0.1557070814399298,3,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
-0.42966440714069,0,2,1.4614661806180305,-0.6954820319532931,4,4,0,-0.4867093514188816,3,3,-0.8686259477716458,1.2432105837696696,-0.5864173580242138,1,-1.2926774131267933,3,3,0,-0.1389206128713836,0.1557070814399298,3,0.8826704550237439,0.7387994420424154,-1.675043127180746,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-1.0866755151470848,0,1,-0.5242947060017769,-1.0316074699401947,1,1,1,-1.2740136117608418,3,2,-0.6040322021702075,0.3258998974213038,1.8176326760436148,0,-0.91911053399039,3,4,1,-0.49876697958303323,0.1557070814399298,3,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
-0.5391662584750891,0,2,0.5020536174196967,-1.0316074699401947,2,4,1,0.645040522822686,3,4,-0.788517937257751,-0.34419928329096944,-1.6217853521327694,0,-0.5732416262379554,3,3,0,-0.1389206128713836,-0.6201892226844657,2,0.8826704550237439,0.7387994420424154,0.7392508974613572,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.4173837275536876,0,1,1.2928872289449382,-0.6954820319532931,3,3,0,0.743453555365431,4,1,-0.997675510957471,-0.6112270608399039,0.7822646819350587,1,1.3191023415904781,4,1,3,0.38760875109346676,0.1557070814399298,2,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
-0.7581699611438873,0,1,1.3771767047814845,1.4456915278010198,1,4,1,0.05456232756621595,3,3,-0.9847643368476673,-0.1374635670938734,-0.5864173580242138,0,1.7436762254776936,4,2,1,-2.292544621589625,-0.6201892226844657,3,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.11784484953130571,0,2,-1.4539580424342708,1.3979954351294148,3,4,1,-1.0771875466753518,2,3,0.9172494813296661,-0.7766437419846911,-1.6217853521327694,0,1.5362156497632011,4,2,0,0.14841116175654057,-0.6201892226844657,3,0.8826704550237439,-0.11727146504788616,1.0510571351745928,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.10115885313749257,0,1,1.230909673182772,1.5781038594442474,3,3,1,1.3831382668932737,3,3,0.016478861942161624,0.31817014596593995,1.2848600822687926,0,-0.5732416262379554,3,2,2,0.8535671492801944,0.1557070814399298,2,0.8826704550237439,1.594870349132717,0.9049235229276625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
